NAME,Gender,COUNTRY,Age,Major teams,Batting style,Bowling style,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20Is_5w,group
Nooshin Al Khadeer,1,India,38.0,"['India Women,', 'South Zone Women']",Right-hand bat,Right-arm offbreak,78.0,27.0,8.0,153.0,8.05,313.0,48.88,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,77.0,4036.0,2402.0,100.0,24.02,3.57,40.3,4.0,1.0,2.0,2.0,42.0,41.0,1.0,41.0,5.85,42.0,0.0,0.0,4
Nidhi Buley,1,India,33.0,India Women,Left-hand bat,Left-arm slow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,24.0,1.0,24.0,3.42,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Ekta Bisht,1,India,33.0,"['India Blue Women,', 'India Women,', 'Uttar Pradesh Women']",Left-hand bat,Slow left-arm orthodox,57.0,33.0,15.0,163.0,9.05,256.0,63.67,0.0,0.0,42.0,14.0,6.0,40.0,5.0,60.0,66.66,0.0,0.0,57.0,57.0,3075.0,1873.0,88.0,21.28,3.65,34.9,1.0,2.0,42.0,42.0,883.0,780.0,53.0,14.71,5.3,16.6,1.0,0.0,32
Preeti Dimri,1,India,33.0,"['Asia Women XI,', 'India Women,', 'Uttar Pradesh Women']",Left-hand bat,Slow left-arm orthodox,23.0,5.0,3.0,23.0,11.5,31.0,74.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,1217.0,650.0,28.0,23.21,3.2,43.4,0.0,0.0,1.0,1.0,24.0,19.0,1.0,19.0,4.75,24.0,0.0,0.0,45
Ritu Dhrub,1,India,25.0,"['India Red Women,', 'India Women']",Right-hand bat,Right-arm offbreak,3.0,1.0,0.0,2.0,2.0,13.0,15.38,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,100.0,0.0,0.0,3.0,3.0,126.0,67.0,2.0,33.5,3.19,63.0,0.0,0.0,3.0,3.0,48.0,42.0,1.0,42.0,5.25,48.0,0.0,0.0,8
Rumeli Dhar,1,India,36.0,"['Asia Women XI,', 'Bengal,', 'East Zone Women,', 'India Red Women,', 'India Under-21s Women,', 'India Women']",Right-hand bat,Right-arm medium,78.0,60.0,11.0,961.0,19.61,1578.0,60.89,0.0,6.0,18.0,11.0,4.0,131.0,18.71,148.0,88.51,0.0,1.0,78.0,77.0,3015.0,1725.0,63.0,27.38,3.43,47.8,2.0,0.0,18.0,17.0,295.0,303.0,13.0,23.3,6.16,22.6,0.0,0.0,5
Anjum Chopra,1,India,42.0,"['Air India Women,', 'India Red Women,', 'India Women']",Left-hand bat,Right-arm medium,127.0,112.0,21.0,2856.0,31.38,0.0,0.0,1.0,18.0,18.0,16.0,2.0,241.0,17.21,0.0,0.0,0.0,0.0,127.0,24.0,601.0,414.0,9.0,46.0,4.13,66.7,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Harleen Deol,1,India,21.0,"['Himachal Pradesh Women,', 'India A Women,', 'India Women']",Right-hand bat,Right-arm offbreak,1.0,1.0,0.0,2.0,2.0,8.0,25.0,0.0,0.0,3.0,3.0,0.0,23.0,7.66,36.0,63.88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,18.0,19.0,2.0,9.5,6.33,9.0,0.0,0.0,1
Neetu David,1,India,42.0,"['India Women,', 'Railways (India) Women']",Right-hand bat,Slow left-arm orthodox,97.0,30.0,15.0,74.0,4.93,204.0,36.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,4892.0,2305.0,141.0,16.34,2.82,34.6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Diana David,1,India,34.0,"['India Red Women,', 'India Women']",Right-hand bat,Right-arm offbreak,15.0,11.0,0.0,52.0,4.72,141.0,36.87,0.0,0.0,13.0,7.0,2.0,15.0,3.0,23.0,65.21,0.0,0.0,15.0,15.0,727.0,406.0,15.0,27.06,3.35,48.4,0.0,0.0,13.0,13.0,258.0,227.0,16.0,14.18,5.27,16.1,2.0,0.0,1
